Education_Level,Age_Group,Developer_Type,Organisation_Size,Uses_AI_Tools,Currency,Years_of_Experience,Years_of_Coding_Experience,Years_of_Pro_Coding_Experience,Current_Work_Situation,Databases,Programming_Languages,Learning_Sources,Estimated_Annual_Salary
Bachelor's,18-24 years old,Student,500-999 employees,No,EUR,24,28,24,In-person,MySQL;SQLite,JavaScript;Swift,Online Courses or Certification;Colleague,84212.22
High School,18-24 years old,Senior Developer,10-99 employees,Yes,USD,50,50,50,Remote,SQLite;MySQL;MongoDB,C++;Ruby;JavaScript;Swift,Other online resources;Colleague;Books / Physical media;Online Courses or Certification,148364.36
Master's,55+ years old,Junior Developer,"1,000 to 4,999 employees",No,EUR,17,20,13,Hybrid,SQLite;MongoDB,Swift;C#,Online Courses or Certification,70845.17
PhD,25-34 years old,Junior Developer,100-499 employees,Yes,INR,1,3,0,Hybrid,MySQL,Kotlin;Python,Colleague;Books / Physical media;Online Courses or Certification;Other online resources,40288.49
Master's,55+ years old,Senior Developer,"1,000 to 4,999 employees",No,EUR,33,34,29,Remote,PostgreSQL;MongoDB,Java;JavaScript;Swift;C++,Books / Physical media;Colleague;Other online resources;Online Courses or Certification,117221.24
Master's,55+ years old,Junior Developer,1-9 employees,No,GBP,1,2,0,Remote,SQLite;PostgreSQL;MongoDB,Python;Go,Online Courses or Certification;Books / Physical media;Colleague,36468.97
Bachelor's,45-54 years old,Tech Lead,1-9 employees,No,INR,26,27,25,Remote,SQLite,C++;Swift;Kotlin,Online Courses or Certification;Books / Physical media;Colleague,102666.7
Master's,45-54 years old,Senior Developer,1-9 employees,No,INR,0,1,0,Hybrid,MongoDB,Swift;Kotlin;C#;Ruby,Online Courses or Certification,29608.61
Master's,18-24 years old,Tech Lead,"10,000+ employees",Yes,USD,25,29,23,Remote,Oracle,C#;Kotlin,Online Courses or Certification;Other online resources;Colleague;Books / Physical media,122510.41
Master's,55+ years old,Student,1-9 employees,No,EUR,47,50,44,Hybrid,SQLite;PostgreSQL;Oracle,Java;Go,Books / Physical media;Other online resources,152201.61
Master's,25-34 years old,Student,"10,000+ employees",No,GBP,7,7,4,Remote,MongoDB;MySQL,Ruby;Kotlin,Online Courses or Certification;Books / Physical media;Colleague,62208.74
High School,35-44 years old,Junior Developer,"5,000 to 9,999 employees",Yes,EUR,2,6,0,Remote,MongoDB,Python;Go;JavaScript,Online Courses or Certification;Books / Physical media;Colleague,35654.57
Bachelor's,18-24 years old,Mid-level Developer,1-9 employees,No,GBP,48,49,47,Hybrid,MongoDB;PostgreSQL,Java,Colleague,144211.36
Master's,35-44 years old,Student,500-999 employees,Yes,GBP,38,40,37,In-person,PostgreSQL,Go,Other online resources;Online Courses or Certification;Books / Physical media;Colleague,134102.15
Bachelor's,35-44 years old,Junior Developer,"5,000 to 9,999 employees",Yes,INR,12,14,10,In-person,Oracle;SQLite;MySQL,Kotlin,Online Courses or Certification,61990.72
Master's,35-44 years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",No,EUR,0,5,0,Hybrid,Oracle;MongoDB,JavaScript;Go,Books / Physical media,57416.99
Master's,45-54 years old,Student,100-499 employees,No,USD,34,38,34,Remote,PostgreSQL,Go;C#,Online Courses or Certification,112076.24
High School,45-54 years old,Tech Lead,100-499 employees,Yes,EUR,17,17,17,Remote,Oracle;SQLite;PostgreSQL,Swift;Python;Kotlin;Go,Other online resources;Books / Physical media;Online Courses or Certification;Colleague,89427.63
High School,45-54 years old,Junior Developer,1-9 employees,No,INR,42,42,38,Hybrid,MongoDB;SQLite,Python;Kotlin;Go;C#,Online Courses or Certification;Colleague;Other online resources,123582.15
Bachelor's,45-54 years old,Senior Developer,100-499 employees,Yes,INR,50,50,48,In-person,MongoDB;SQLite,Kotlin;Ruby;C++;Swift,Colleague;Other online resources;Books / Physical media,151810.17
Master's,18-24 years old,Tech Lead,"1,000 to 4,999 employees",No,INR,47,50,46,In-person,SQLite;MongoDB;PostgreSQL,JavaScript,Colleague;Other online resources;Books / Physical media,169136.22
High School,45-54 years old,Tech Lead,1-9 employees,No,EUR,20,23,17,Hybrid,MySQL,JavaScript;Ruby;C++;Kotlin,Colleague;Other online resources,88404.61
PhD,35-44 years old,Student,500-999 employees,Yes,INR,5,10,3,Remote,MySQL;PostgreSQL;Oracle,Python,Online Courses or Certification;Other online resources;Colleague,56511.57
Master's,18-24 years old,Student,10-99 employees,No,EUR,0,4,0,In-person,MongoDB,Kotlin,Other online resources;Books / Physical media;Colleague;Online Courses or Certification,34002.42
PhD,18-24 years old,Mid-level Developer,"1,000 to 4,999 employees",Yes,GBP,23,24,23,Remote,MongoDB;Oracle,Kotlin;Swift;JavaScript,Other online resources,97296.28
High School,25-34 years old,Student,500-999 employees,Yes,INR,19,23,16,In-person,SQLite,Python;JavaScript;Java;Swift,Online Courses or Certification;Books / Physical media;Other online resources,69994.98
Bachelor's,55+ years old,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",No,USD,18,20,14,Remote,MongoDB;Oracle;PostgreSQL,Go;Java;C++,Online Courses or Certification;Other online resources;Books / Physical media;Colleague,80732.41
High School,18-24 years old,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",Yes,INR,9,14,7,In-person,Oracle;PostgreSQL;SQLite,Python,Other online resources,72188.79
Master's,25-34 years old,Junior Developer,500-999 employees,No,USD,47,50,47,In-person,MongoDB;PostgreSQL;MySQL,Swift,Online Courses or Certification;Other online resources;Books / Physical media;Colleague,151179.04
PhD,55+ years old,"Senior Executive (C-Suite, VP, etc.)","10,000+ employees",No,GBP,8,9,5,Hybrid,MySQL;SQLite;PostgreSQL,Go,Colleague;Online Courses or Certification;Books / Physical media;Other online resources,89909.16
Bachelor's,55+ years old,Tech Lead,"1,000 to 4,999 employees",Yes,GBP,7,11,5,Remote,MySQL,C++,Online Courses or Certification;Books / Physical media;Other online resources,62367.2
Bachelor's,18-24 years old,Mid-level Developer,100-499 employees,Yes,INR,22,25,18,Remote,Oracle;MySQL;PostgreSQL,Swift,Colleague;Online Courses or Certification,81066.09
PhD,55+ years old,Junior Developer,1-9 employees,Yes,GBP,49,50,45,Hybrid,SQLite;MongoDB,JavaScript;C++,Other online resources;Colleague;Books / Physical media;Online Courses or Certification,159490.86
High School,35-44 years old,Tech Lead,1-9 employees,Yes,INR,7,7,6,In-person,PostgreSQL;MongoDB;Oracle,C#,Colleague;Online Courses or Certification;Books / Physical media,58916.24
Master's,55+ years old,Senior Developer,1-9 employees,Yes,EUR,39,41,35,Hybrid,Oracle;MongoDB,Kotlin;Python;Ruby,Books / Physical media;Colleague,129287.02
PhD,55+ years old,Student,100-499 employees,No,USD,46,47,46,In-person,PostgreSQL;MySQL,Ruby;C#;Java,Books / Physical media,152009.66
Bachelor's,25-34 years old,Junior Developer,1-9 employees,Yes,INR,45,47,41,Hybrid,SQLite;MongoDB,Swift;Ruby;JavaScript;Java,Other online resources;Colleague,141727.73
High School,35-44 years old,Senior Developer,"5,000 to 9,999 employees",Yes,USD,34,34,32,In-person,PostgreSQL,JavaScript,Colleague;Books / Physical media;Other online resources,117361.61
High School,35-44 years old,Mid-level Developer,"5,000 to 9,999 employees",Yes,USD,3,5,2,Hybrid,PostgreSQL,Kotlin;Java;JavaScript,Other online resources;Online Courses or Certification;Books / Physical media;Colleague,40804.63
High School,35-44 years old,Junior Developer,"1,000 to 4,999 employees",Yes,EUR,27,28,26,In-person,SQLite;MongoDB,Kotlin;Ruby;C#;Go,Books / Physical media;Colleague;Online Courses or Certification;Other online resources,87786.24
Bachelor's,18-24 years old,Mid-level Developer,10-99 employees,No,GBP,4,8,2,Hybrid,SQLite;Oracle,Swift,Colleague,33888.96
Bachelor's,18-24 years old,Mid-level Developer,500-999 employees,Yes,USD,9,12,4,Hybrid,MongoDB;PostgreSQL,Go,Other online resources,50497.65
Master's,18-24 years old,Mid-level Developer,500-999 employees,Yes,INR,9,13,4,Hybrid,MySQL;Oracle;SQLite,C#;Go;Python;Swift,Online Courses or Certification;Colleague;Books / Physical media,60491.9
Master's,55+ years old,Senior Developer,"1,000 to 4,999 employees",No,INR,20,23,20,In-person,MongoDB;SQLite;MySQL,Kotlin;JavaScript,Online Courses or Certification;Colleague;Books / Physical media;Other online resources,79475.73
PhD,55+ years old,Senior Developer,"1,000 to 4,999 employees",No,USD,11,11,7,Remote,MySQL;Oracle,Swift;Kotlin;Python,Books / Physical media,66877.62
Master's,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,No,USD,45,49,43,In-person,MongoDB;MySQL,C++,Books / Physical media;Colleague;Online Courses or Certification,161676.35
High School,55+ years old,Senior Developer,500-999 employees,No,USD,3,7,3,Hybrid,PostgreSQL;MySQL,Python;Java;Swift,Colleague,27464.54
Master's,45-54 years old,Tech Lead,1-9 employees,No,USD,32,36,29,In-person,SQLite;MySQL,JavaScript,Other online resources;Colleague;Online Courses or Certification,132260.92
High School,55+ years old,Mid-level Developer,500-999 employees,Yes,GBP,23,27,23,Remote,SQLite;MongoDB,Kotlin;JavaScript,Books / Physical media;Online Courses or Certification;Colleague;Other online resources,80724.34
Master's,25-34 years old,"Senior Executive (C-Suite, VP, etc.)","10,000+ employees",No,EUR,37,37,32,In-person,PostgreSQL,Python;JavaScript;Ruby;Java,Colleague;Other online resources,155476.02
PhD,25-34 years old,Junior Developer,"5,000 to 9,999 employees",No,GBP,35,37,30,In-person,PostgreSQL;SQLite;Oracle,Java;Ruby,Other online resources;Colleague,129978.24
PhD,55+ years old,Tech Lead,"1,000 to 4,999 employees",No,EUR,46,46,45,In-person,MySQL;SQLite,Kotlin;Swift;Java,Colleague;Online Courses or Certification;Books / Physical media;Other online resources,174667.42
High School,55+ years old,"Senior Executive (C-Suite, VP, etc.)","10,000+ employees",No,USD,43,44,40,Remote,PostgreSQL;MySQL,C#,Online Courses or Certification;Colleague;Other online resources;Books / Physical media,160103.86
Bachelor's,35-44 years old,Student,"5,000 to 9,999 employees",Yes,GBP,47,49,45,In-person,SQLite,Swift;Go;JavaScript;Kotlin,Books / Physical media;Colleague,154627.4
High School,35-44 years old,Tech Lead,100-499 employees,Yes,INR,44,46,42,Hybrid,PostgreSQL;MongoDB,JavaScript,Books / Physical media;Online Courses or Certification;Colleague,153427.49
PhD,45-54 years old,Tech Lead,10-99 employees,No,EUR,39,40,35,Remote,Oracle;MySQL;PostgreSQL,JavaScript,Colleague;Other online resources;Online Courses or Certification;Books / Physical media,153105.86
Bachelor's,45-54 years old,Tech Lead,"5,000 to 9,999 employees",No,GBP,3,8,0,Hybrid,MySQL;MongoDB,Swift;Kotlin;JavaScript;Java,Online Courses or Certification;Other online resources;Books / Physical media,56760.44
High School,35-44 years old,Mid-level Developer,10-99 employees,No,EUR,8,10,4,In-person,MongoDB;MySQL,Go;C++;Java;Kotlin,Online Courses or Certification;Colleague;Books / Physical media,36847.03
PhD,35-44 years old,Student,"10,000+ employees",No,EUR,1,5,1,In-person,MongoDB,Swift,Books / Physical media;Colleague;Online Courses or Certification;Other online resources,46085.83
Master's,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,No,INR,17,19,16,Remote,SQLite;MySQL,C++,Online Courses or Certification,92925.38
Bachelor's,25-34 years old,Senior Developer,10-99 employees,Yes,EUR,14,15,11,Remote,Oracle;MySQL,Kotlin;Python,Books / Physical media;Online Courses or Certification,62702.3
PhD,18-24 years old,Tech Lead,500-999 employees,No,USD,13,18,13,Hybrid,MongoDB;MySQL;PostgreSQL,Kotlin,Other online resources;Books / Physical media;Colleague,82660.04
Master's,55+ years old,Senior Developer,500-999 employees,No,EUR,39,39,35,In-person,MySQL;Oracle;MongoDB,Ruby;C#;JavaScript,Online Courses or Certification;Other online resources;Colleague;Books / Physical media,124453.84
High School,45-54 years old,Student,10-99 employees,No,EUR,19,23,15,Remote,Oracle,Go;Kotlin;Ruby,Online Courses or Certification,70656.62
Master's,18-24 years old,Junior Developer,500-999 employees,Yes,INR,18,22,16,Remote,SQLite;MongoDB;Oracle,Java,Other online resources;Online Courses or Certification,79343.87
PhD,45-54 years old,Junior Developer,100-499 employees,No,EUR,24,28,20,Hybrid,MySQL;Oracle,C++,Colleague;Other online resources,97501.19
High School,25-34 years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",No,EUR,20,22,16,Remote,MongoDB;Oracle,Ruby;Java;Go;C++,Books / Physical media,104524.99
Master's,18-24 years old,Mid-level Developer,1-9 employees,No,USD,48,50,44,Hybrid,PostgreSQL;MongoDB;SQLite,C#,Books / Physical media;Colleague;Online Courses or Certification;Other online resources,150590.75
PhD,25-34 years old,Mid-level Developer,10-99 employees,No,GBP,9,11,7,Remote,SQLite;MongoDB,Kotlin,Books / Physical media,53483.09
Bachelor's,45-54 years old,Mid-level Developer,"1,000 to 4,999 employees",No,EUR,14,15,13,Remote,MySQL;PostgreSQL;MongoDB,JavaScript,Online Courses or Certification;Colleague;Other online resources;Books / Physical media,52337.43
Bachelor's,18-24 years old,Student,"5,000 to 9,999 employees",Yes,INR,36,40,34,Remote,MySQL;MongoDB;Oracle,Swift;Java,Colleague;Books / Physical media;Other online resources;Online Courses or Certification,127359.19
High School,35-44 years old,Senior Developer,"10,000+ employees",No,INR,8,12,3,Remote,MySQL,C++;Python;Ruby,Books / Physical media;Online Courses or Certification;Colleague,48993.04
High School,45-54 years old,Tech Lead,10-99 employees,Yes,GBP,21,23,20,In-person,MongoDB;PostgreSQL,Ruby;Kotlin;Java,Colleague;Other online resources,95235.06
PhD,55+ years old,"Senior Executive (C-Suite, VP, etc.)",1-9 employees,Yes,USD,26,29,26,Remote,MongoDB;MySQL,Python;C++;C#,Books / Physical media,127741.27
Bachelor's,18-24 years old,Junior Developer,"1,000 to 4,999 employees",Yes,USD,23,26,18,In-person,SQLite,C++;Java;Swift;JavaScript,Other online resources;Colleague;Online Courses or Certification;Books / Physical media,85848.23
Master's,55+ years old,Student,10-99 employees,No,INR,15,20,14,Remote,PostgreSQL;SQLite,Swift,Other online resources;Colleague,72247.11
PhD,18-24 years old,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",No,EUR,16,18,11,In-person,MongoDB;PostgreSQL,Go;C++;Python;Java,Books / Physical media,99972.68
High School,35-44 years old,Student,"10,000+ employees",No,USD,9,13,8,Hybrid,Oracle,Swift,Books / Physical media;Other online resources,55815.74
PhD,25-34 years old,Tech Lead,500-999 employees,No,EUR,19,21,14,Remote,MongoDB;SQLite;MySQL,Ruby;C#;Python;Java,Online Courses or Certification;Books / Physical media;Colleague,98481.48
Bachelor's,18-24 years old,"Senior Executive (C-Suite, VP, etc.)",1-9 employees,No,EUR,32,35,28,Remote,MongoDB;MySQL;Oracle,Python;C#,Books / Physical media;Online Courses or Certification,118092.24
PhD,55+ years old,Senior Developer,1-9 employees,No,USD,32,37,31,Remote,MongoDB;SQLite;Oracle,JavaScript;Java,Books / Physical media;Other online resources,116231.86
High School,55+ years old,Junior Developer,"10,000+ employees",Yes,USD,17,18,17,In-person,SQLite;MySQL;PostgreSQL,Kotlin;JavaScript;Ruby,Books / Physical media;Online Courses or Certification,77716.59
Master's,25-34 years old,Senior Developer,"10,000+ employees",No,USD,5,7,1,In-person,MongoDB;Oracle,JavaScript;Swift;C++,Books / Physical media,53798.14
High School,55+ years old,Tech Lead,100-499 employees,No,EUR,37,41,34,Remote,PostgreSQL;MongoDB;Oracle,Swift;Java;Kotlin,Colleague,136300.07
PhD,25-34 years old,Student,1-9 employees,No,INR,18,18,18,Remote,MongoDB,Python;Ruby;Go,Online Courses or Certification;Books / Physical media;Colleague;Other online resources,84793.42
PhD,45-54 years old,Senior Developer,"1,000 to 4,999 employees",Yes,GBP,37,38,33,In-person,SQLite,Python;Ruby,Colleague;Other online resources;Online Courses or Certification;Books / Physical media,128348.38
PhD,45-54 years old,Student,500-999 employees,Yes,GBP,23,27,18,Remote,MongoDB,Swift,Colleague,96774.77
Master's,25-34 years old,Tech Lead,"1,000 to 4,999 employees",No,USD,19,21,15,In-person,MySQL;Oracle,C#;Kotlin,Other online resources;Online Courses or Certification,99172.07
PhD,55+ years old,Junior Developer,10-99 employees,No,INR,20,24,19,Hybrid,Oracle,JavaScript;Go;Swift,Colleague;Other online resources;Online Courses or Certification,85089.34
Bachelor's,45-54 years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,No,EUR,46,50,45,In-person,SQLite,Go,Colleague;Books / Physical media,154415.33
Bachelor's,45-54 years old,"Senior Executive (C-Suite, VP, etc.)","10,000+ employees",Yes,GBP,37,39,33,In-person,MySQL;MongoDB;Oracle,Go;Ruby;Swift;Python,Books / Physical media;Other online resources;Colleague;Online Courses or Certification,149297.35
High School,35-44 years old,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",No,INR,22,22,22,Hybrid,Oracle;SQLite;MongoDB,Ruby,Other online resources;Colleague;Online Courses or Certification;Books / Physical media,94701.99
Bachelor's,45-54 years old,Junior Developer,"10,000+ employees",No,EUR,37,37,36,In-person,PostgreSQL;MongoDB,Go;C#;Kotlin,Online Courses or Certification;Other online resources;Colleague;Books / Physical media,126989.59
High School,18-24 years old,Student,"5,000 to 9,999 employees",No,USD,42,44,39,Hybrid,Oracle,Go;Ruby,Books / Physical media;Colleague;Online Courses or Certification,137662.01
High School,25-34 years old,Mid-level Developer,10-99 employees,Yes,GBP,13,13,10,Hybrid,MySQL;PostgreSQL,Swift;Java;C++,Books / Physical media,59349.07
Bachelor's,25-34 years old,Mid-level Developer,"1,000 to 4,999 employees",No,USD,14,14,10,Hybrid,PostgreSQL;MongoDB;SQLite,Go,Books / Physical media;Online Courses or Certification;Other online resources;Colleague,55993.95
High School,18-24 years old,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",No,GBP,18,21,16,Hybrid,PostgreSQL,JavaScript;Go;C++,Online Courses or Certification;Colleague;Other online resources,87515.99
High School,45-54 years old,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",No,GBP,39,41,35,Remote,Oracle;PostgreSQL,Ruby;Kotlin;Go;JavaScript,Other online resources;Online Courses or Certification,141380.77
High School,55+ years old,Student,10-99 employees,Yes,USD,9,11,5,In-person,PostgreSQL;SQLite,JavaScript;Go,Online Courses or Certification;Colleague,43949.32
PhD,18-24 years old,Senior Developer,10-99 employees,No,INR,25,29,25,Remote,MongoDB;SQLite,JavaScript;Go;Ruby;Swift,Colleague;Books / Physical media;Other online resources,102122.6
PhD,55+ years old,"Senior Executive (C-Suite, VP, etc.)",10-99 employees,Yes,GBP,12,17,9,Hybrid,MongoDB;Oracle,Java;Python;C#,Colleague;Books / Physical media,87787.26
Master's,35-44 years old,Senior Developer,"1,000 to 4,999 employees",No,INR,28,32,26,Hybrid,PostgreSQL;SQLite;MongoDB,Java;Go;Ruby,Other online resources;Books / Physical media,102132.03
PhD,45-54 years old,Junior Developer,"10,000+ employees",Yes,USD,5,9,2,In-person,MongoDB;MySQL;SQLite,Python,Colleague;Books / Physical media;Other online resources,59548.66
PhD,45-54 years old,Junior Developer,500-999 employees,Yes,USD,9,9,4,Hybrid,MongoDB;SQLite,Go;Java,Books / Physical media;Colleague;Other online resources;Online Courses or Certification,58412.54
PhD,18-24 years old,"Senior Executive (C-Suite, VP, etc.)","10,000+ employees",Yes,EUR,44,49,40,Remote,MongoDB;SQLite,Kotlin;JavaScript;C++,Other online resources;Colleague;Online Courses or Certification,184859.33
Bachelor's,25-34 years old,Junior Developer,1-9 employees,No,INR,14,16,14,Remote,Oracle;SQLite;PostgreSQL,C++;Ruby;Swift,Other online resources;Colleague,57716.37
Bachelor's,25-34 years old,Junior Developer,500-999 employees,Yes,INR,26,26,24,Remote,Oracle,Python;Ruby;Go,Other online resources,89957.98
Bachelor's,35-44 years old,Senior Developer,100-499 employees,No,EUR,27,27,25,In-person,Oracle;MySQL;MongoDB,Kotlin,Books / Physical media;Other online resources;Colleague;Online Courses or Certification,86907.22
Master's,25-34 years old,Student,100-499 employees,No,EUR,47,50,46,In-person,MySQL;SQLite,Swift;Ruby;C++;Go,Books / Physical media;Online Courses or Certification,142872.69
Bachelor's,35-44 years old,Student,"10,000+ employees",No,EUR,15,17,12,In-person,SQLite;MySQL;Oracle,Go,Online Courses or Certification;Books / Physical media;Other online resources;Colleague,67719.32
Master's,45-54 years old,"Senior Executive (C-Suite, VP, etc.)","5,000 to 9,999 employees",Yes,GBP,11,11,7,In-person,MongoDB;PostgreSQL;Oracle,Ruby;Python,Online Courses or Certification;Colleague;Other online resources,88966.46
High School,18-24 years old,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",No,USD,48,50,47,In-person,Oracle;MongoDB,Go;JavaScript;Java;C++,Colleague;Other online resources;Online Courses or Certification;Books / Physical media,155105.83
Bachelor's,45-54 years old,Senior Developer,"1,000 to 4,999 employees",Yes,GBP,2,3,2,In-person,SQLite,Go,Online Courses or Certification,30938.83
Master's,18-24 years old,Senior Developer,"5,000 to 9,999 employees",No,INR,21,26,19,Remote,Oracle,C++;Java,Books / Physical media;Colleague;Online Courses or Certification;Other online resources,95852.11
Master's,45-54 years old,Mid-level Developer,"1,000 to 4,999 employees",Yes,INR,40,45,39,Remote,MongoDB;MySQL;SQLite,C#;Swift,Colleague;Other online resources,135027.02
PhD,18-24 years old,"Senior Executive (C-Suite, VP, etc.)",100-499 employees,No,INR,11,16,11,Remote,SQLite;MongoDB,C++;Go;Kotlin,Colleague;Books / Physical media,86108.8
Master's,18-24 years old,Student,"1,000 to 4,999 employees",Yes,USD,25,30,21,Hybrid,Oracle;MySQL,Swift,Other online resources;Colleague;Online Courses or Certification,101491.31
PhD,25-34 years old,Student,"5,000 to 9,999 employees",No,GBP,34,35,29,Remote,PostgreSQL;Oracle,C++;Go;Kotlin;Python,Other online resources;Colleague,129179.97
High School,45-54 years old,Senior Developer,"10,000+ employees",No,EUR,33,35,28,Hybrid,Oracle;PostgreSQL,Go;Java;C#,Other online resources;Online Courses or Certification,114860.72
Bachelor's,45-54 years old,Junior Developer,100-499 employees,No,GBP,18,18,16,In-person,MySQL;MongoDB;PostgreSQL,Swift;Go;C#;Kotlin,Other online resources;Books / Physical media;Colleague;Online Courses or Certification,67408.0
PhD,18-24 years old,Tech Lead,500-999 employees,No,GBP,30,32,25,Hybrid,PostgreSQL;MongoDB;MySQL,C#;Python,Other online resources;Online Courses or Certification;Books / Physical media,131230.5
PhD,35-44 years old,Mid-level Developer,10-99 employees,Yes,USD,45,48,43,Remote,SQLite,Java,Other online resources;Books / Physical media;Colleague;Online Courses or Certification,153333.83
Bachelor's,55+ years old,Tech Lead,"10,000+ employees",Yes,GBP,46,50,42,Hybrid,MongoDB;MySQL;Oracle,C#,Colleague;Online Courses or Certification,174397.21
High School,35-44 years old,Mid-level Developer,100-499 employees,No,GBP,21,26,17,Hybrid,MongoDB;SQLite;PostgreSQL,Kotlin;C#;Swift;Java,Books / Physical media,75931.9
PhD,18-24 years old,Tech Lead,"10,000+ employees",Yes,GBP,45,45,43,Remote,PostgreSQL;SQLite;MySQL,Java,Online Courses or Certification,180622.29
Master's,55+ years old,Mid-level Developer,1-9 employees,Yes,EUR,11,11,9,In-person,PostgreSQL;MySQL,Kotlin;C++;Python,Online Courses or Certification;Books / Physical media;Other online resources,61404.21
High School,25-34 years old,Mid-level Developer,"5,000 to 9,999 employees",Yes,EUR,33,38,31,In-person,Oracle;MySQL;PostgreSQL,Go;C++;Kotlin;C#,Other online resources;Colleague;Online Courses or Certification,117747.81
Bachelor's,55+ years old,Junior Developer,1-9 employees,Yes,USD,20,24,15,Remote,MongoDB,Kotlin;Java;Ruby,Online Courses or Certification,72722.6
High School,35-44 years old,Student,1-9 employees,Yes,EUR,47,50,47,Remote,MySQL,Kotlin,Books / Physical media;Other online resources,144714.58
Master's,55+ years old,"Senior Executive (C-Suite, VP, etc.)","1,000 to 4,999 employees",No,EUR,20,23,17,Remote,PostgreSQL,Python;Kotlin;Java;Swift,Colleague;Books / Physical media;Online Courses or Certification;Other online resources,96801.24
High School,25-34 years old,Junior Developer,100-499 employees,Yes,EUR,34,34,33,In-person,SQLite,Java,Other online resources;Books / Physical media;Online Courses or Certification,107375.79
PhD,18-24 years old,Mid-level Developer,1-9 employees,Yes,INR,32,34,32,In-person,MongoDB,Java;Kotlin,Books / Physical media;Other online resources,118339.18
Bachelor's,18-24 years old,Senior Developer,"10,000+ employees",No,INR,13,17,12,Remote,MongoDB,C#;Python;C++,Colleague;Other online resources;Books / Physical media;Online Courses or Certification,59145.63
PhD,45-54 years old,Junior Developer,"1,000 to 4,999 employees",No,EUR,7,8,2,Hybrid,MySQL;PostgreSQL;Oracle,Go;C++,Books / Physical media;Colleague,48503.94
Bachelor's,25-34 years old,Mid-level Developer,100-499 employees,Yes,EUR,2,4,2,In-person,SQLite;MySQL;Oracle,C++;Ruby;Swift,Online Courses or Certification;Other online resources;Colleague;Books / Physical media,25402.51
PhD,25-34 years old,Student,1-9 employees,Yes,INR,5,7,5,In-person,PostgreSQL;MongoDB;MySQL,Go;C++;Kotlin;Java,Colleague,50638.83
PhD,55+ years old,Mid-level Developer,"10,000+ employees",Yes,USD,46,50,45,In-person,PostgreSQL;MySQL,Java;Swift;Ruby;C++,Online Courses or Certification;Colleague,161449.54
PhD,25-34 years old,Tech Lead,"5,000 to 9,999 employees",Yes,USD,17,20,13,Hybrid,SQLite,Swift;Python;C#,Other online resources;Books / Physical media,116340.88
PhD,55+ years old,Student,1-9 employees,Yes,GBP,17,19,16,Hybrid,MongoDB;MySQL,Java;C++,Books / Physical media;Colleague;Online Courses or Certification;Other online resources,86089.95
Master's,25-34 years old,Tech Lead,100-499 employees,No,INR,46,46,42,Remote,MySQL;PostgreSQL,Swift,Books / Physical media;Online Courses or Certification,165735.43
Bachelor's,18-24 years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,No,GBP,0,4,0,Hybrid,MySQL,Ruby;Java,Other online resources;Online Courses or Certification;Colleague;Books / Physical media,41155.77
Bachelor's,45-54 years old,Mid-level Developer,"10,000+ employees",No,INR,18,23,15,Hybrid,MySQL;Oracle,Swift;JavaScript;Ruby;Kotlin,Books / Physical media,72047.3
High School,18-24 years old,Mid-level Developer,100-499 employees,No,EUR,28,32,25,Remote,MongoDB;SQLite;Oracle,JavaScript;Kotlin;Swift,Online Courses or Certification;Colleague;Books / Physical media;Other online resources,87696.74
Bachelor's,55+ years old,Junior Developer,1-9 employees,Yes,USD,9,10,9,Remote,MongoDB;SQLite;PostgreSQL,Kotlin;Java,Online Courses or Certification;Books / Physical media;Other online resources,52437.57
Bachelor's,35-44 years old,Mid-level Developer,"10,000+ employees",No,GBP,18,20,15,Hybrid,SQLite,Swift;Kotlin,Online Courses or Certification;Colleague,72748.76
High School,25-34 years old,"Senior Executive (C-Suite, VP, etc.)","10,000+ employees",Yes,EUR,29,32,26,Remote,SQLite;MongoDB,Swift;JavaScript;C#,Online Courses or Certification;Books / Physical media,125524.47
PhD,18-24 years old,Mid-level Developer,10-99 employees,No,GBP,9,10,4,Hybrid,MySQL;SQLite,Ruby,Other online resources;Colleague;Online Courses or Certification,58476.03
PhD,25-34 years old,Tech Lead,10-99 employees,Yes,USD,20,22,16,Hybrid,MySQL;MongoDB;PostgreSQL,Go;Swift;C#,Colleague;Online Courses or Certification;Books / Physical media,113445.87
Master's,25-34 years old,"Senior Executive (C-Suite, VP, etc.)",500-999 employees,No,INR,30,32,26,In-person,MySQL,Python;Go,Online Courses or Certification,120286.89
Bachelor's,55+ years old,Senior Developer,500-999 employees,No,USD,47,48,45,Hybrid,Oracle;SQLite,C++,Other online resources;Books / Physical media;Colleague,133504.97
